+─────────+─────────+──────────+
| X       | X       | Z        |
+─────────+─────────+──────────+
| 314925  | 314925  | -0.58    |
| 314975  | 314975  | 1.5346   |
| 315025  | 315025  | 6.9631   |
| 315075  | 315075  | 13.1302  |
| 315125  | 315125  | 13.6292  |
| 315175  | 315175  | 15.119   |
| 315225  | 315225  | 23.7235  |
| 315275  | 315275  | 24.4324  |
| 315325  | 315325  | 28.4646  |
| 315375  | 315375  | 17.9891  |
| 315425  | 315425  | 18.4197  |
| 315475  | 315475  | 24.0826  |
| 315525  | 315525  | 27.8893  |
| 315575  | 315575  | 32.5588  |
| 315625  | 315625  | 33.6592  |
| 315675  | 315675  | 30.6106  |
| 315725  | 315725  | 30.4947  |
| 315775  | 315775  | 24.4828  |
| 315825  | 315825  | 20.8173  |
| 315875  | 315875  | 16.6554  |
| 315925  | 315925  | 11.3858  |
| 315975  | 315975  | 5.642    |
| 314975  | 314975  | -0.5893  |
| 315025  | 315025  | 1.0508   |
| 315075  | 315075  | 6.7625   |
| 315125  | 315125  | 13.0698  |
| 315175  | 315175  | 12.8059  |
| 315225  | 315225  | 14.3146  |
| 315275  | 315275  | 18.5737  |
+─────────+─────────+──────────+
